window_size,stdv,alt_min,received_alg,similarity
2,2.25,250, U' D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,2.25,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,2.25,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,2.25,550, D D' R R R R L L L L F F F F B B B B,86
2,2.5,50, D D' U D D D D R R R R D' R L D R' L D' D L R R' L R F R' D F D F D' D F R' R' R B R' D R R' B D' R B R' B B F' R' D' U' R U,44
2,2.5,150, D D' U D D D D R R R R D' R L D R' L D' D L R R' L F F F D' D F R' R' B D R B R' D' B B B',59
2,2.5,250, D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,2.5,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,2.5,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,2.5,550, D D' R R R R L L L L F F F F B B B B,86
2,2.75,50, D D' U D D D D R R R R D' R L D R' L D' D L R R' L R F R' D F D F D' D F R' R' R B R' D B D' R B R' B B F' D' U' U,47
2,2.75,150, D D' U D D D D R R R R D' R L D R' L D' D L R R' L F F F D' D F R' R' B D B D' B B B',62
2,2.75,250, D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,2.75,350, D D' D D D D R R R R L L D' D L L F F F D' D F B B B B,82
2,2.75,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,2.75,550, D D' R R R R L L L L F F F F B B B B,86
2,3.0,50, D D' U D D D D R R R R D' R L R' D L D' D L R R' L R F R' D' F D F F R' R' R B R' D B D' R B R' B B D' U' U,49
2,3.0,150, D D' U D D D D R R R R D' R L R' D L D' D L R R' L F F F F R' R' B D B D' B B B',67
2,3.0,250, D D' U D D D D R R R R D' L D L D' D L R R' L F F F F R R' B D B D' B B,69
2,3.0,350, D D' D D D D R R R R L L D' D L L F F F F B B B B,87
2,3.0,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,3.0,550, D D' R R R R L L L L F F F F B B B B,86
3,0.25,50, U' U U U D D D D R R R U' U R U' D' L U D L L L U' U F F U' U U' U U' F U U' F R' R' U R B R' U' D B U D' U' B U U' B U U' B F' D',48
3,0.25,150, U' U U U D D D D R R R R D' L D L L L U' F F F F B D B D' B B,86
3,0.25,250, U U D D D D R R R R L L L L F F F F B B B B,97
3,0.25,350, U D D D D R R R R L L L L F F F F B B B B,94
3,0.25,450, D D' R R R R L L L L F F F F B B B B,86
3,0.25,550, D D' R R R R L L L L F F F F B B B B,86
3,0.5,50, U' U U U D D D D R R R U' U R U' D' L U D L L L U' U F F U' U U' U U' F U U' F R' R' U R B R' U' D B U D' U' B U U' B U U' B F' D',48
3,0.5,150, U' U U U D D D D R R R R D' L D L L L U' F F F F B D B D' B B,86
3,0.5,250, U U D D D D R R R R L L L L F F F F B B B B,97
3,0.5,350, U D D D D R R R R L L L L F F F F B B B B,94
3,0.5,450, D D' R R R R L L L L F F F F B B B B,86
3,0.5,550, D D' R R R R L L L L F F F F B B B B,86
3,0.75,50, U' U U U D D D D R R R U' U R U' D' L U D L L L U' U F F U' U U' U U' F U U' F R' R' U R B R' U' D B D' U U' B U U' B U U' B F' D',48
3,0.75,150, U' U U U D D D D R R R R D' L D L L L U' F F F F B D B D' B B,86
3,0.75,250, U U D D D D R R R R L L L L F F F F B B B B,97
3,0.75,350, U D D D D R R R R L L L L F F F F B B B B,94
3,0.75,450, D D' R R R R L L L L F F F F B B B B,86
3,0.75,550, D D' R R R R L L L L F F F F B B B B,86
3,1.0,50, U' U U U D D D D R R R U' U R U' D' L U D L L L U' U F F U' F U U' F R' R' U R B R' U' D B D' B B B F' D',58
3,1.0,150, U' U U U D D D D R R R R D' L D L L L U' F F F F B D B D' B B,86
3,1.0,250, U U D D D D R R R R L L L L F F F F B B B B,97
